old,new
toast.groupeSupprimees,toast.groupDeleted
toast.groupeSpam,toast.groupSpam
toast.groupePasSpam,toast.groupNot-spam
toast.groupeLues,toast.groupRead
toast.groupeNonLues,toast.groupUnread
erreur.groupePartiel,error.groupPartial
toast.pieceEnregistree,toast.attachmentSaved
toast.brouillonEnregistre,toast.draftSaved
toast.brouillonSupprime,toast.draftDeleted
toast.brouillonFork,toast.draftFork
toast.envoye,toast.sent
toast.programme,toast.scheduled
toast.envoiAnnule,toast.sendCancelled
toast.signatureTous,toast.signatureAll
toast.echoAttente,toast.echoPending
erreur.spamImpossible,error.spamFailed
erreur.renvoi,error.resend
erreur.abandon,error.discard
erreur.maj,error.update
erreur.ouverture,error.opening
erreur.preference,error.preference
erreur.enregistrement,error.save
erreur.transfert,error.forward
erreur.repondreTous,error.replyAll
erreur.envoi,error.send
erreur.invitation,error.invitation
erreur.piece,error.attachment
erreur.piecesManquantes,error.attachmentsMissing
erreur.aucunCompte,error.noneAccount
erreur.connexion,error.connection
erreur.differePasse,error.deferredPass
erreur.annulerEnvoi,error.cancelSend
erreur.annulerTard,error.cancelLater
erreur.signature,error.signature
liste.aria,list.aria
liste.aucunResultat,list.noneResultat
liste.vide,list.empty
liste.chargerPlus,list.loadMore
liste.affiner,list.affiner
liste.prefixeBrouillon,list.prefixeDraft
liste.dest,list.dest
liste.sur,list.on
liste.nSelection,list.nSelection
liste.cocher,list.check
brouillons.a,drafts.to
brouillons.sansDestinataire,drafts.withoutRecipient
brouillons.sansObjet,drafts.withoutSubject
puce.messages,chip.messages
puce.fichiers,chip.fichiers
puce.epingle,chip.pin
onglet.tous,tab.all
onglet.nonlus,tab.unread
lecture.aria,reading.aria
lecture.vide,reading.empty
lecture.ouvrir,reading.open
lecture.corpsEchec,reading.bodyFailure
lecture.imagesBloquees,reading.blockedImages
lecture.afficherImages,reading.showImages
lecture.toujoursAfficherImages,reading.alwaysShowImages
lecture.corps,reading.body
lecture.enregistrer,reading.save
lecture.voileEnregistrer,reading.veilSave
conv.deplier,conv.expand
conv.replier,conv.collapse
conv.brouillon,conv.draft
conv.ligneA,conv.row-to
conv.ligneCc,conv.row-cc
conv.de,conv.from
conv.a,conv.to
conv.objet,conv.subject
conv.fichiersJoints,conv.fichiersAttached
reglages.deconnecte,settings.disconnected
reglages.reconnecter,settings.reconnect
reglages.reconnecterCompte,settings.reconnectAccount
reglages.reconnexionEnCours,settings.reconnectionInProgress
reglages.reconnexionImpossible,settings.reconnectionFailed
reglages.repereCompte,settings.markerAccount
reglages.repereTitre,settings.markerTitle
reglages.repereIcones,settings.markerIcons
reglages.repereTeintes,settings.markerHues
reglages.repereRetirer,settings.markerRemove
reglages.repereImpossible,settings.markerFailed
reglages.retirer,settings.remove
reglages.nommerCompte,settings.renameAccount
reglages.nomTitre,settings.nameTitle
reglages.nomImpossible,settings.nameFailed
repere.icone.home,marker.icon.home
