identifiant	occurrences	fichiers
blocs	10	e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js
cartes	10	e2e/tests/banc-ram-kiosque.spec.js;e2e/tests/kiosque-images.spec.js
piece	10	e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js
reste	10	e2e/garde-thread-principal.mjs
tri	10	e2e/tests/retours-14-reception.spec.js
compte	9	e2e/launch.mjs;e2e/tests/refonte-defilement.spec.js
debut	9	scripts/mesurer-sessions.mjs
depart	9	e2e/garde-thread-principal.mjs;e2e/tests/refonte-ecran02.spec.js
fond	9	e2e/contraste.mjs;e2e/tests/refonte-retours-6.spec.js
gestes	9	e2e/tests/refonte-invitations.spec.js;e2e/tests/selection-multiple.spec.js
objet	9	e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js
purgerOAuth	9	e2e/diag-v2.mjs;e2e/isolation.mjs;e2e/launch.mjs;e2e/mesure-defilement.mjs;e2e/mesure-v2.mjs
section	9	e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js
Etape	8	scripts/gate.ps1
bloc	8	e2e/tests/refonte-ecran02.spec.js;e2e/tests/repere-ligne.spec.js
boite	8	e2e/tests/refonte-volets.spec.js;e2e/tests/repere-ligne.spec.js
cle	8	e2e/launch.mjs;e2e/rebuild-v2.mjs;e2e/tests/refonte-ecran02.spec.js;scripts/mesurer-sessions.mjs
entree	8	e2e/rebuild-v2.mjs;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-6.spec.js
etapes	8	e2e/launch.mjs
noms	8	e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
reponse	8	e2e/tests/barres-fil.spec.js
serveur	8	e2e/port-cdp.test.mjs
Dire	7	scripts/verifier-release.ps1
actif	7	e2e/tests/menu-clavier.spec.js
nLignes	7	e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js
purgerCacheHttp	7	e2e/launch.mjs;e2e/mesure-defilement.mjs;e2e/mesure-v2.mjs;e2e/rebuild-v2.mjs
rangees	7	e2e/tests/refonte-reconnexion.spec.js;e2e/tests/retours-12.spec.js
themes	7	e2e/contraste.mjs;e2e/jetons.mjs
avantIndex	6	e2e/tests/espacement.spec.js
echo	6	e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-volets.spec.js
fil	6	e2e/tests/refonte-ecran02.spec.js
fin	6	e2e/garde-thread-principal.mjs
heure	6	e2e/tests/repere-ligne.spec.js
jetons	6	e2e/coherence-systeme.mjs;e2e/jetons.mjs
routages	6	e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
sections	6	e2e/tests/mode-organise.spec.js
teintesRust	6	e2e/coherence-systeme.mjs
themesCss	6	e2e/coherence-systeme.mjs
vide	6	e2e/tests/sections-liste.spec.js
Section	5	scripts/installer-poste.ps1
apres	5	e2e/tests/espacement.spec.js;e2e/tests/refonte-retours-6.spec.js
avantSujet	5	e2e/tests/espacement.spec.js
champA	5	e2e/tests/refonte-ecran02.spec.js
colonne	5	e2e/tests/barres-fil.spec.js;e2e/tests/repere-ligne.spec.js
compareListes	5	e2e/coherence-systeme.mjs
haut	5	e2e/tests/espacement.spec.js;e2e/tests/refonte-ecran02.spec.js
ligneAtelier	5	e2e/tests/refonte-invitations.spec.js
menuTri	5	e2e/tests/retours-14-reception.spec.js
nuit	5	e2e/contraste.mjs
ouvrirAtelier	5	e2e/tests/refonte-invitations.spec.js
progression	5	e2e/tests/refonte-ecran02.spec.js
sessions	5	scripts/mesurer-sessions.mjs
sujetAuSommet	5	e2e/tests/espacement.spec.js
teinte	5	e2e/coherence-systeme.mjs
themesDoc	5	e2e/coherence-systeme.mjs
toast	5	e2e/tests/selection-multiple.spec.js
TEMOIN_THEME	4	e2e/global-teardown.mjs
adresse	4	e2e/tests/retours-14-reception.spec.js
champCc	4	e2e/tests/refonte-ecran02.spec.js
commandes	4	e2e/garde-thread-principal.mjs;e2e/tests/selection-multiple.spec.js
derniere	4	e2e/tests/kiosque-images.spec.js
envoi	4	e2e/tests/repere-ligne.spec.js
erreur	4	e2e/tests/refonte-onboarding.spec.js
garde	4	e2e/tests/kiosque-images.spec.js
groupe	4	e2e/contraste.mjs
historique	4	e2e/tests/mode-organise.spec.js
iconesJs	4	e2e/coherence-systeme.mjs
jetonsDoc	4	e2e/coherence-systeme.mjs
marque	4	e2e/tests/refonte-retours-6.spec.js
nomsCatalogue	4	e2e/coherence-systeme.mjs
nomsDoc	4	e2e/coherence-systeme.mjs
padGauche	4	e2e/tests/selection-multiple.spec.js
premiereLue	4	e2e/tests/sections-liste.spec.js
rangPortier	4	e2e/tests/mode-organise.spec.js
sousAgents	4	scripts/mesurer-sessions.mjs
sujet	4	e2e/tests/menu-clavier.spec.js;e2e/tests/refonte-retours-7.spec.js
SONDES	3	e2e/tests/demarrage.spec.js
aCocher	3	e2e/tests/selection-multiple.spec.js
accueil	3	e2e/tests/refonte-retours-8.spec.js
