identifiant	occurrences	fichiers
etape	17	apps/desktop/ui-v2/src/Onboarding.svelte
geste	17	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Registre.svelte
groupes	17	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
debut	16	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/invitation.js
teinte	16	apps/desktop/ui-v2/src/Reglages.svelte
commande	15	apps/desktop/ui-v2/src/Composition.svelte
expediteur	15	apps/desktop/ui-v2/src/Composition.svelte
langue	15	apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/texte.svelte.js
repereChoix	15	apps/desktop/ui-v2/src/Reglages.svelte
synchro	15	apps/desktop/ui-v2/src/App.svelte
actif	14	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Reglages.svelte
avant	14	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Reglages.svelte
comptes	14	apps/desktop/ui-v2/src/App.svelte
fermerFil	14	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Lecture.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
messages	14	apps/desktop/ui-v2/src/lib/fil.svelte.js
rechargerVues	14	apps/desktop/ui-v2/src/App.svelte
vue	14	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Nav.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
gabaritCorps	13	apps/desktop/ui-v2/src/Composition.svelte
messagesOuverts	13	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
recherche	13	apps/desktop/ui-v2/src/App.svelte
choix	12	apps/desktop/ui-v2/src/lib/theme.js;apps/desktop/ui-v2/src/lib/transport.js
corpsModifie	12	apps/desktop/ui-v2/src/Composition.svelte
portierDefauts	12	apps/desktop/ui-v2/src/Reglages.svelte
recharger	12	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/PileMisDeCote.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Registre.svelte;apps/desktop/ui-v2/src/main.js
ajoutOuvert	11	apps/desktop/ui-v2/src/Onboarding.svelte;apps/desktop/ui-v2/src/Reglages.svelte
