layer,old,new,occurrences,files
e2e-scripts,fond,bg,9,e2e/contraste.mjs;e2e/tests/refonte-retours-6.spec.js
e2e-scripts,gestes,gestures,9,e2e/tests/refonte-invitations.spec.js;e2e/tests/selection-multiple.spec.js
e2e-scripts,objet,subject,9,e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-7.spec.js
e2e-scripts,purgerOAuth,purgeOAuth,9,e2e/diag-v2.mjs;e2e/isolation.mjs;e2e/launch.mjs;e2e/mesure-defilement.mjs;e2e/mesure-v2.mjs
e2e-scripts,Etape,Step,8,scripts/gate.ps1
e2e-scripts,bloc,block,8,e2e/tests/refonte-ecran02.spec.js;e2e/tests/repere-ligne.spec.js
e2e-scripts,boite,mailbox,8,e2e/tests/refonte-volets.spec.js;e2e/tests/repere-ligne.spec.js
e2e-scripts,cle,key,8,e2e/launch.mjs;e2e/rebuild-v2.mjs;e2e/tests/refonte-ecran02.spec.js;scripts/mesurer-sessions.mjs
e2e-scripts,entree,entry,8,e2e/rebuild-v2.mjs;e2e/tests/refonte-ecran02.spec.js;e2e/tests/refonte-retours-6.spec.js
e2e-scripts,etapes,steps,8,e2e/launch.mjs
e2e-scripts,noms,names,8,e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,reponse,reply,8,e2e/tests/barres-fil.spec.js
e2e-scripts,serveur,server,8,e2e/port-cdp.test.mjs
e2e-scripts,Dire,Say,7,scripts/verifier-release.ps1
e2e-scripts,actif,active,7,e2e/tests/menu-clavier.spec.js
e2e-scripts,nLignes,lineCount,7,e2e/tests/refonte-retours-8.spec.js;e2e/tests/repere-ligne.spec.js
e2e-scripts,purgerCacheHttp,purgeHttpCache,7,e2e/launch.mjs;e2e/mesure-defilement.mjs;e2e/mesure-v2.mjs;e2e/rebuild-v2.mjs
e2e-scripts,rangees,rows,7,e2e/tests/refonte-reconnexion.spec.js;e2e/tests/retours-12.spec.js
e2e-scripts,avantIndex,indexBefore,6,e2e/tests/espacement.spec.js
e2e-scripts,fil,thread,6,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,fin,end,6,e2e/garde-thread-principal.mjs
e2e-scripts,heure,time,6,e2e/tests/repere-ligne.spec.js
e2e-scripts,jetons,tokens,6,e2e/coherence-systeme.mjs;e2e/jetons.mjs
e2e-scripts,routages,routings,6,e2e/tests/mode-organise.spec.js;e2e/tests/retours-14-reception.spec.js
e2e-scripts,teintesRust,rustHues,6,e2e/coherence-systeme.mjs
e2e-scripts,themesCss,cssThemes,6,e2e/coherence-systeme.mjs
e2e-scripts,vide,empty,6,e2e/tests/sections-liste.spec.js
